Time	Amplitude GEN	Incertezza
1.472	-1.64324	0.0043
1.476	-1.42056	0.0043
1.48	-1.19207	0.0043
1.484	-0.961332	0.0043
1.488	-0.730591	0.0043
1.492	-0.506295	0.0043
1.496	-0.265241	0.0043
1.5	-0.0370782	0.0043
1.504	0.199464	0.0043
1.508	0.434717	0.0043
1.512	0.669326	0.0043
1.516	0.902001	0.0043
1.52	1.12759	0.0043
1.524	1.35124	0.0043
1.528	1.57425	0.0043
1.532	1.79725	0.0043
1.536	2.00963	0.0043
1.54	2.21717	0.0043
1.544	2.41697	0.0043
1.548	2.61742	0.0043
1.552	2.80692	0.0043
1.556	2.99673	0.0043
1.56	3.16786	0.0043
1.564	3.34027	0.0043
1.568	3.49818	0.0043
1.572	3.64997	0.0043
1.576	3.79048	0.0043
1.58	3.92648	0.0043
1.584	4.04927	0.0043
1.588	4.1627	0.0043
1.592	4.261	0.0043
1.596	4.35671	0.0043
1.6	4.43406	0.0043
1.604	4.50463	0.0043
1.608	4.55684	0.0043
1.612	4.60261	0.0043
1.616	4.64031	0.0043
1.62	4.65675	0.0043
1.624	4.67318	0.0043
1.628	4.66738	0.0043
1.632	4.65868	0.0043
1.636	4.63193	0.0043
1.64	4.59423	0.0043
1.644	4.54524	0.0043
1.648	4.4853	0.0043
1.652	4.41279	0.0043
1.656	4.32545	0.0043
1.66	4.23264	0.0043
1.664	4.12758	0.0043
1.668	4.01607	0.0043
1.672	3.88716	0.0043
1.676	3.75278	0.0043
1.68	3.60937	0.0043
1.684	3.45629	0.0043
1.688	3.28742	0.0043
1.692	3.12145	0.0043
1.696	2.94195	0.0043
1.7	2.756	0.0043
1.704	2.56167	0.0043
1.708	2.35993	0.0043
1.712	2.154	0.0043
1.716	1.9455	0.0043
1.72	1.72861	0.0043
1.724	1.50818	0.0043
1.728	1.28002	0.0043
1.732	1.05572	0.0043
1.736	0.823691	0.0043
1.74	0.59166	0.0043
1.744	0.367041	0.0043
1.748	0.128888	0.0043
1.752	-0.106687	0.0043
1.756	-0.33904	0.0043
1.76	-0.574937	0.0043
1.764	-0.807612	0.0043
1.768	-1.03449	0.0043
1.772	-1.26652	0.0043
1.776	-1.48823	0.0043
1.78	-1.70931	0.0043
1.784	-1.92522	0.0043
1.788	-2.13856	0.0043
1.792	-2.34255	0.0043
1.796	-2.54365	0.0043
1.8	-2.74023	0.0043
1.804	-2.92489	0.0043
1.808	-3.10987	0.0043
1.812	-3.27712	0.0043
1.816	-3.44631	0.0043
1.82	-3.60164	0.0043
1.824	-3.75278	0.0043
1.828	-3.88588	0.0043
1.832	-4.01575	0.0043
1.836	-4.13209	0.0043
1.84	-4.24263	0.0043
1.844	-4.33737	0.0043
1.848	-4.42986	0.0043
1.852	-4.50237	0.0043
1.856	-4.56747	0.0043
1.86	-4.6142	0.0043
1.864	-4.65835	0.0043
1.868	-4.68574	0.0043
1.872	-4.70411	0.0043
1.876	-4.70411	0.0043
1.88	-4.69444	0.0043
1.884	-4.6764	0.0043
1.888	-4.64675	0.0043
1.892	-4.60195	0.0043
1.896	-4.5491	0.0043
1.9	-4.48207	0.0043
1.904	-4.40279	0.0043
