Time	Amplitude - V_R	Incertezza
1.252	-1.68385	0.0043
1.256	-1.72187	0.0043
1.26	-1.75571	0.0043
1.264	-1.78439	0.0043
1.268	-1.80953	0.0043
1.272	-1.82983	0.0043
1.276	-1.84595	0.0043
1.28	-1.85658	0.0043
1.284	-1.8627	0.0043
1.288	-1.86367	0.0043
1.292	-1.86013	0.0043
1.296	-1.8511	0.0043
1.3	-1.83692	0.0043
1.304	-1.81694	0.0043
1.308	-1.79213	0.0043
1.312	-1.76151	0.0043
1.316	-1.72671	0.0043
1.32	-1.68771	0.0043
1.324	-1.64389	0.0043
1.328	-1.59555	0.0043
1.332	-1.54302	0.0043
1.336	-1.48694	0.0043
1.34	-1.42668	0.0043
1.344	-1.36255	0.0043
1.348	-1.29681	0.0043
1.352	-1.22591	0.0043
1.356	-1.15405	0.0043
1.36	-1.07702	0.0043
1.364	-1	0.0043
1.368	-0.920082	0.0043
1.372	-0.83726	0.0043
1.376	-0.753794	0.0043
1.38	-0.668394	0.0043
1.384	-0.581382	0.0043
1.388	-0.492437	0.0043
1.392	-0.401881	0.0043
1.396	-0.31197	0.0043
1.4	-0.220769	0.0043
1.404	-0.129568	0.0043
1.408	-0.0377227	0.0043
1.412	0.0544449	0.0043
1.416	0.14629	0.0043
1.42	0.237169	0.0043
1.424	0.32837	0.0043
1.428	0.417315	0.0043
1.432	0.50626	0.0043
1.436	0.593271	0.0043
1.44	0.678994	0.0043
1.444	0.763427	0.0043
1.448	0.845282	0.0043
1.452	0.92456	0.0043
1.456	1.00287	0.0043
1.46	1.07828	0.0043
1.464	1.15047	0.0043
1.468	1.2204	0.0043
1.472	1.28743	0.0043
1.476	1.35124	0.0043
1.48	1.41247	0.0043
1.484	1.46983	0.0043
1.488	1.5243	0.0043
1.492	1.57489	0.0043
1.496	1.62162	0.0043
1.5	1.6648	0.0043
1.504	1.70348	0.0043
1.508	1.7386	0.0043
1.512	1.76922	0.0043
1.516	1.795	0.0043
1.52	1.81659	0.0043
1.524	1.83335	0.0043
1.528	1.84624	0.0043
1.532	1.85462	0.0043
1.536	1.85849	0.0043
1.54	1.85591	0.0043
1.544	1.84946	0.0043
1.548	1.83625	0.0043
1.552	1.82014	0.0043
1.556	1.79725	0.0043
1.56	1.76922	0.0043
1.564	1.73667	0.0043
1.568	1.69929	0.0043
1.572	1.65804	0.0043
1.576	1.61163	0.0043
1.58	1.562	0.0043
1.584	1.50818	0.0043
1.588	1.4505	0.0043
1.592	1.38894	0.0043
1.596	1.32385	0.0043
1.6	1.25617	0.0043
1.604	1.18592	0.0043
1.608	1.11244	0.0043
1.612	1.03639	0.0043
1.616	0.958075	0.0043
1.62	0.878153	0.0043
1.624	0.795976	0.0043
1.628	0.711542	0.0043
1.632	0.625175	0.0043
1.636	0.538486	0.0043
1.64	0.450186	0.0043
1.644	0.360274	0.0043
1.648	0.270684	0.0043
1.652	0.180128	0.0043
1.656	0.0882826	0.0043
1.66	-0.0025959	0.0043
1.664	-0.0931522	0.0043
1.668	-0.184675	0.0043
1.672	-0.274909	0.0043
1.676	-0.365465	0.0043
1.68	-0.453766	0.0043
1.684	-0.542066	0.0043
1.688	-0.628111	0.0043
1.692	-0.712866	0.0043
1.696	-0.79601	0.0043
1.7	-0.877543	0.0043
1.704	-0.955853	0.0043
1.708	-1.03416	0.0043
1.712	-1.10699	0.0043
1.716	-1.1795	0.0043
1.72	-1.24815	0.0043
1.724	-1.31518	0.0043
1.728	-1.37802	0.0043
1.732	-1.4386	0.0043
1.736	-1.49436	0.0043
1.74	-1.54753	0.0043
1.744	-1.59716	0.0043
1.748	-1.6426	0.0043
1.752	-1.68481	0.0043
1.756	-1.7222	0.0043
1.76	-1.75539	0.0043
1.764	-1.78439	0.0043
1.768	-1.80953	0.0043
1.772	-1.83015	0.0043
1.776	-1.84498	0.0043
1.78	-1.8569	0.0043
1.784	-1.86238	0.0043
1.788	-1.86335	0.0043
1.792	-1.86045	0.0043
1.796	-1.8511	0.0043
1.8	-1.83628	0.0043
1.804	-1.81694	0.0043
1.808	-1.79181	0.0043
1.812	-1.76184	0.0043
1.816	-1.72703	0.0043
1.82	-1.68771	0.0043
1.824	-1.64389	0.0043
1.828	-1.59522	0.0043
1.832	-1.54302	0.0043
1.836	-1.4863	0.0043
1.84	-1.42636	0.0043
1.844	-1.36319	0.0043
1.848	-1.29584	0.0043
1.852	-1.22623	0.0043
1.856	-1.15308	0.0043
1.86	-1.07831	0.0043
1.864	-0.999359	0.0043
1.868	-0.920726	0.0043
1.872	-0.837904	0.0043
1.876	-0.754438	0.0043
1.88	-0.668394	0.0043
1.884	-0.581382	0.0043
1.888	-0.492115	0.0043
1.892	-0.40317	0.0043
1.896	-0.31197	0.0043
1.9	-0.221736	0.0043
1.904	-0.12989	0.0043
